NAME,median_home_value,median_gross_rent,population,median_hh_income,nh_white,total_race_eth,housing_units_occupied,owner_occupied_units,renter_occupied_units,state,county,county_fips5,pct_nh_white,pct_owner_occupied,owner_to_renter_ratio,affordability_index,lat,lon,land_sqmi,pop_density,log_pop_density,dem_two_party_share
"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,001,36001,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.015172081340623375,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852
"Allegany County, New York",93200,735,47222,58725,44195,47222,16813,13584,3229,36,003,36003,0.935898521875397,0.8079462320823173,4.2068751935583775,0.012515964240102172,42.247853,,1029.4352608646184,45.871752984581505,3.84741521222906,0.29965812812763215
"Bronx County, New York",501400,1401,1443229,47036,123902,1443229,525387,104887,420500,36,005,36005,0.08585054762619099,0.1996376004735557,0.24943400713436384,0.029785696062590357,40.848711,,42.17185807305897,34222.561346472685,10.440669614107996,0.8399013031948837
"Broome County, New York",139200,882,198365,58317,161262,198365,81339,52748,28591,36,007,36007,0.8129559146018703,0.6484958015220251,1.844916232380819,0.015124234785740008,42.161977,,705.6383045568906,281.11427443634085,5.642312217352883,0.5176742649487942
"Cattaraugus County, New York",105100,745,77000,56889,68387,77000,31491,23220,8271,36,009,36009,0.8881428571428571,0.73735352957988,2.807399347116431,0.01309567754750479,42.239099,,1308.1627141371152,58.861179246184534,4.092028202300415,0.3490333196215549
"Cayuga County, New York",158900,868,76171,63227,67307,76171,30910,21643,9267,36,011,36011,0.8836302529834189,0.7001941119378842,2.3354915290816876,0.013728312271656096,43.008546,,691.5826126196495,110.14013164887339,4.710791852382956,0.45284764869184824
"Chautauqua County, New York",110900,759,127440,54625,109504,127440,53405,36891,16514,36,013,36013,0.8592592592592593,0.6907780170396031,2.2339227322272013,0.013894736842105264,42.304216,,1060.4118756528583,120.17971783043232,4.797274714998142,0.3984639282015878
"Chemung County, New York",128200,991,83584,61358,70876,83584,34779,23801,10978,36,015,36015,0.8479613323124043,0.684349751286696,2.1680633995263254,0.016151113139280943,42.148697,,407.33330697148875,205.19804928657712,5.32883711124023,0.4314539135847295
"Chenango County, New York",121100,798,47096,61741,44046,47096,19886,15170,4716,36,017,36017,0.9352386614574486,0.7628482349391532,3.2167090754877012,0.01292496072302036,42.478024,,893.5924808935716,52.70411401951939,3.9834896097445682,0.3807642844019842
"Clinton County, New York",165200,944,79839,67097,71610,79839,32651,22542,10109,36,019,36019,0.896930071769436,0.6903923310158954,2.229894153724404,0.014069183421017333,44.752712,,1037.751105989176,76.9346325330081,4.355870430885414,0.5265210161133093
"Columbia County, New York",283700,1114,61469,81741,51705,61469,25300,18868,6432,36,021,36021,0.841155704501456,0.7457707509881423,2.933457711442786,0.013628411690583674,42.247696,,634.6634219825638,96.85291111938186,4.583465444236348,0.5849641319942611
"Cortland County, New York",148200,884,46755,65029,42383,46755,18514,12213,6301,36,023,36023,0.9064912843546145,0.6596629577616938,1.9382637676559276,0.013593935013609313,42.594039,,498.77370009718385,93.73990647640402,4.5511353103345105,0.4900746762453918
"Delaware County, New York",160400,785,44637,58338,40447,44637,18780,14490,4290,36,025,36025,0.9061316844770034,0.7715654952076677,3.3776223776223775,0.01345606637183311,42.193986,,1442.5960652442097,30.942133474101517,3.4639259368648436,0.4058144695960941
"Dutchess County, New York",348700,1425,296467,94578,203571,296467,113972,78430,35542,36,027,36027,0.6866565250095289,0.6881514758010739,2.206685048674807,0.015066928884095667,41.75477,,795.6490030885361,372.6102827367089,5.923213229361121,0.5491218015709807
"Erie County, New York",197400,984,951232,68014,700002,951232,406547,264980,141567,36,029,36029,0.7358898775482743,0.6517819587895126,1.8717638997789032,0.01446760960978622,42.752759,,1042.7308516291382,912.2507486124703,6.817010485398538,0.5749374328869531
"Essex County, New York",189500,875,37314,68090,34292,37314,15750,12129,3621,36,031,36031,0.9190116310232085,0.770095238095238,3.3496271748135875,0.012850638860331914,44.109601,,1794.1214357146894,20.797923293935757,3.081814703511289,0.5256566083601966
"Franklin County, New York",131600,788,47459,60270,39509,47459,18933,13423,5510,36,033,36033,0.8324869887692534,0.708973749537844,2.436116152450091,0.013074498091919694,44.594376,,1629.2959562862843,29.1285323681617,3.405472641971164,0.4890333491887321
"Fulton County, New York",142000,855,53280,60557,47737,53280,22103,15265,6838,36,035,36035,0.8959647147147147,0.6906302311903362,2.2323778882714245,0.014118929273246693,43.115609,,495.45968256723984,107.53649968838637,4.6870865190677655,0.3402548371873525
"Genesee County, New York",148600,866,58204,68178,52240,58204,24416,17919,6497,36,037,36037,0.8975328156140472,0.733903997378768,2.7580421733107587,0.012702044647833612,43.00091,,492.9387729252442,118.07551606176214,4.779757880599533,0.33770744886144344
"Greene County, New York",229500,1013,48067,70294,40265,48067,17903,13589,4314,36,039,36039,0.8376848981629809,0.7590347986370999,3.149976819656931,0.014410902779753607,42.279821,,647.1614646843123,74.2735818231193,4.3211292342450465,0.4202786692123329
"Hamilton County, New York",204900,902,5090,66891,4686,5090,1725,1465,260,36,041,36041,0.9206286836935167,0.8492753623188406,5.634615384615385,0.013484624239434303,43.657879,,1717.3782745369285,2.9638199547926973,1.3772081953536497,0.34616514839847196
"Herkimer County, New York",130900,776,60293,68104,55799,60293,24664,18744,5920,36,043,36043,0.9254639842104391,0.7599740512487837,3.1662162162162164,0.011394338071185246,43.571009,,1411.5399091641862,42.71434311460683,3.7776762659754466,0.3449508799944458
"Jefferson County, New York",169600,1143,117445,62782,94266,117445,46099,25123,20976,36,045,36045,0.8026395333986122,0.5449792837154819,1.1977021357742181,0.018205855181421426,43.996389,,1268.704295933511,92.57082235508955,4.538718607911054,0.4030883174958077
"Kings County, New York",865300,1715,2679620,74692,966614,2679620,997957,302505,695452,36,047,36047,0.3607280136735806,0.3031242829099851,0.43497610187331404,0.022960959674396188,40.635045,,69.37656751508773,38624.28044479496,10.561662274880353,0.7762101001896076
"Lewis County, New York",146100,768,26690,64401,25245,26690,10672,8620,2052,36,049,36049,0.945859872611465,0.8077211394302849,4.200779727095517,0.011925280663343737,43.782681,,1274.641831684594,20.939215500817138,3.0882756976361136,0.3006762069507784
"Livingston County, New York",159900,919,61980,70443,55558,61980,24071,18546,5525,36,051,36051,0.8963859309454663,0.7704706908728345,3.3567420814479636,0.01304600882983405,42.729042,,631.7614990084754,98.10664324634399,4.596196474874654,0.4069604357611142
"Madison County, New York",162800,867,68020,68869,61839,68020,25218,19606,5612,36,053,36053,0.909129667744781,0.7774605440558331,3.4935851746258018,0.012589118471300585,42.910026,,654.8501243042272,103.87109580573217,4.652731936973872,0.4457925636007828
"Monroe County, New York",182700,1085,756406,71450,520178,756406,314727,200332,114395,36,055,36055,0.6876968189041335,0.6365262592659671,1.7512303859434415,0.015185444366689994,43.250347,,656.9432400904988,1151.4023645266516,7.049604055036324,0.6078129922160864
"Montgomery County, New York",132300,867,49624,58033,38904,49624,18918,13001,5917,36,057,36057,0.7839754957278736,0.687229093984565,2.1972283251647795,0.0149397756448917,42.900891,,403.1105022580798,123.10272176493599,4.8211096240001625,0.3849531898465399
"Nassau County, New York",633800,2131,1389160,137709,787703,1389160,454771,372021,82750,36,059,36059,0.5670354746753433,0.8180402884088915,4.495722054380665,0.015474660334473419,40.729612,,284.5416872992494,4882.0965855137965,8.493534843819715,0.5482481126075053
"New York County, New York",1104000,2024,1645867,99880,749800,1645867,772601,187921,584680,36,061,36061,0.4555653646376044,0.24323162926271127,0.32140829171512625,0.02026431718061674,40.776642,,22.656265009798634,72645.11601043584,11.193355205909784,0.8762250717425261
"Niagara County, New York",163100,823,212230,65882,177390,212230,90982,64550,26432,36,063,36063,0.835838477123875,0.7094809962410147,2.442115617433414,0.01249203120731004,43.272672,,522.3528071812227,406.29627539528065,6.009540869990116,0.4508359697150749
"Oneida County, New York",157600,889,231055,66402,185550,231055,92944,63158,29786,36,065,36065,0.8030555495444808,0.6795274573936995,2.120392130531122,0.013388150959308455,43.242727,,1212.330626333515,190.5874478307836,5.255344351025301,0.4209444337549495
"Onondaga County, New York",172800,1002,472637,71479,355194,472637,192785,125899,66886,36,067,36067,0.7515154336203048,0.6530539201701377,1.8822922584696349,0.014018103219127297,43.006516,,778.392684489374,607.1960970574256,6.410497358020151,0.6051683346912811
"Ontario County, New York",192800,1061,112288,76603,99071,112288,47080,34133,12947,36,069,36069,0.8822937446565973,0.725,2.6363636363636362,0.01385063248175659,42.856357,,644.0752037983644,174.3398897175261,5.166726317196663,0.49987944337282997
"Orange County, New York",337800,1494,401237,91806,242637,401237,135140,91917,43223,36,071,36071,0.6047223959903997,0.6801613141926891,2.1265761284501306,0.016273446179988237,41.40241,,812.3176680247622,493.94099844664333,6.204438560407109,0.4990806223479491
"Orleans County, New York",122200,840,40148,61069,34289,40148,16201,12348,3853,36,073,36073,0.8540649596492976,0.7621751743719524,3.204775499610693,0.013754932944701894,43.339906,,391.26312354713303,102.6112546360726,4.640645959408302,0.31541805453621635
"Oswego County, New York",131800,899,118037,65054,108863,118037,47203,34694,12509,36,075,36075,0.9222786075552581,0.7349956570556956,2.773523063394356,0.013819288591016695,43.461443,,951.6458280884722,124.03458988213669,4.828590418079738,0.39682063024342634
"Otsego County, New York",166500,927,59678,65778,53362,59678,22305,16534,5771,36,077,36077,0.8941653540668253,0.7412687738175296,2.8650147288164964,0.014092857794399343,42.629776,,1001.7370896978427,59.574513725952656,4.103874239034424,0.47428446101546223
"Putnam County, New York",421800,1691,97942,120970,73125,97942,34903,29299,5604,36,079,36079,0.7466153437748871,0.8394407357533736,5.228229835831549,0.013978672398115235,41.427907,,230.20347298916812,425.4583943857724,6.055514810908991,0.46008186444428056
"Queens County, New York",677700,1847,2360826,82431,560919,2360826,816859,369150,447709,36,081,36081,0.23759438433836294,0.4519139778101239,0.8245311128433871,0.022406618869114776,40.654658,,108.72407053770942,21713.922117928618,9.98575495840613,0.7279465474739127
"Rensselaer County, New York",230800,1141,160943,83734,129907,160943,66088,41507,24581,36,083,36083,0.8071615416638188,0.6280565306863576,1.688580611041048,0.013626483865574319,42.710421,,652.4585021283259,246.67162658621567,5.512103782442185,0.5288437955827492
"Richmond County, New York",637100,1602,492925,96185,285903,492925,170000,116662,53338,36,085,36085,0.580013186590252,0.6862470588235294,2.1872211181521615,0.016655403649217655,40.561263,,57.52253433343847,8569.250393987897,9.056052228666507,0.4245906764279082
"Rockland County, New York",528900,1755,337326,106173,208670,337326,102579,70035,32544,36,087,36087,0.6186004043566165,0.6827420817126313,2.152009587020649,0.016529626176146478,41.154628,,173.44394254447863,1944.8704581510237,7.573464692262468,0.5087792305420571
"St. Lawrence County, New York",114700,788,108670,58339,99541,108670,41399,29521,11878,36,089,36089,0.915993374436367,0.7130848571221527,2.4853510692035696,0.013507259294811362,44.488112,,2679.5160407511225,40.55583110804502,3.7270378509985878,0.4403329618594919
"Saratoga County, New York",306000,1305,236328,97038,209469,236328,98409,70909,27500,36,091,36091,0.8863486341017569,0.7205540143686044,2.578509090909091,0.013448339825635319,43.106135,,809.9961658618739,291.7643440306115,5.679367998820139,0.5276091110837134
"Schenectady County, New York",204400,1092,159447,75056,111736,159447,63964,40880,23084,36,093,36093,0.7007720433749145,0.63910949909324,1.7709235834344135,0.01454913664463867,42.817552,,204.5810932048104,779.3828721033095,6.659784660921366,0.5800754036554381
"Schoharie County, New York",169400,883,29970,71479,26952,29970,12283,9510,2773,36,095,36095,0.8992992992992993,0.7742408206464219,3.429498737829066,0.012353278585318764,42.591294,,621.8188977674762,48.19731292760907,3.8958390067142945,0.35053777544596015
"Schuyler County, New York",151100,808,17855,61316,16706,17855,7446,5724,1722,36,097,36097,0.9356482777933351,0.7687348912167606,3.3240418118466897,0.013177637158327354,42.419776,,328.3433621205607,54.379049677404545,4.01420135756316,0.4098068038639227
"Seneca County, New York",132000,871,33651,64050,29628,33651,13622,9882,3740,36,099,36099,0.8804493179994651,0.7254441344883277,2.6422459893048127,0.013598750975800156,42.782294,,323.6975361602095,103.95815920991414,4.653561787026686,0.453585252246933
"Steuben County, New York",121000,832,93584,62506,86499,93584,39165,28480,10685,36,101,36101,0.9242926141220722,0.7271798799948934,2.6654188114178754,0.013310722170671616,42.266725,,1390.5077045055582,67.30203629707823,4.223939580145174,0.3488423471191234
"Suffolk County, New York",490800,2113,1524486,122498,991871,1524486,510686,417769,92917,36,103,36103,0.6506265062453837,0.818054538405204,4.496152480170474,0.01724926121242796,40.943554,,911.1742515659059,1673.1003947709037,7.423031222232537,0.49474268674855915
