Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi,o_NAME,o_median_home_value,o_median_gross_rent,o_population,o_median_hh_income,o_nh_white,o_total_race_eth,o_housing_units_occupied,o_owner_occupied_units,o_renter_occupied_units,o_state,o_county,o_pct_nh_white,o_pct_owner_occupied,o_owner_to_renter_ratio,o_affordability_index,o_lat,o_lon,o_land_sqmi,o_pop_density,o_log_pop_density,o_dem_two_party_share,d_NAME,d_median_home_value,d_median_gross_rent,d_population,d_median_hh_income,d_nh_white,d_total_race_eth,d_housing_units_occupied,d_owner_occupied_units,d_renter_occupied_units,d_state,d_county,d_pct_nh_white,d_pct_owner_occupied,d_owner_to_renter_ratio,d_affordability_index,d_lat,d_lon,d_land_sqmi,d_pop_density,d_log_pop_density,d_dem_two_party_share,distance_km_haversine,distance_km,distance_km_source,abs_diff_dem_two_party_share,abs_diff_pct_nh_white,abs_diff_median_home_value,abs_diff_median_gross_rent,abs_diff_log_pop_density,abs_diff_affordability_index,abs_diff_pct_owner_occupied,abs_diff_owner_to_renter_ratio,dest_more_dem,dest_lower_rent_than_origin,dest_lower_rent_pressure_than_origin,o_housing_pred,d_housing_pred,dyadic_housing_gap,o_affordability_pred,d_affordability_pred,dyadic_affordability_gap,log_distance_km,log_o_population,log_d_population,origin_county_label,dest_county_label
36,1,12,99,FL,Palm Beach County,49,78,7731,49,78,7731,36001,12099,157775.51020408163,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Palm Beach County, Florida",368300,1700,1494805,76066,773159,1494805,589594,409975,179619,12,99,0.517230675573068,0.695351377388508,2.282470117303849,0.0223490126994978,26.649126,,1964.2986331470051,760.9866314498072,6.635929011503624,0.5643389219857787,20015.114442035923,20015.114442035923,haversine,0.09637643120740647,0.18144346525304667,104500,504,0.23317965749718716,0.0071769313588745005,0.13013859130944616,0.9824944786875756,0.0,0.0,0.0,338866.9061127994,504316.5721997773,165449.66608697787,0.0158098014568658,0.0213774601983936,0.005567658741527801,9.904292950218121,12.660461242253005,14.217506990500315,"Albany, NY","Palm Beach, FL"
36,1,12,57,FL,Hillsborough County,46,56,4022,46,56,4022,36001,12057,87434.78260869565,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Hillsborough County, Florida",294900,1413,1468560,70612,679457,1468560,559970,338533,221437,12,57,0.4626688729095168,0.6045556011929211,1.528800516625496,0.0200107630431088,27.88761,,1021.8891879996488,1437.1029826381769,7.27108015090324,0.5347907327019673,20015.114442035923,20015.114442035923,haversine,0.1259246204912179,0.23600526791659787,31100,217,0.868330796896803,0.004838681702485498,0.039342815113859175,0.2288248780092228,0.0,0.0,0.0,338866.9061127994,370635.8946304291,31768.98851762968,0.0158098014568658,0.0218467491548128,0.006036947697947,9.904292950218121,12.660461242253005,14.199793567743452,"Albany, NY","Hillsborough, FL"
36,1,12,95,FL,Orange County,36,58,2052,36,58,2052,36001,12095,57000.0,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Orange County, Florida",329000,1553,1427403,72629,535722,1427403,491378,279925,211453,12,95,0.3753123679857755,0.5696734489537586,1.3238166401044205,0.0213826432967547,28.514391,,902.0235848483952,1582.4453195865228,7.367358334019368,0.6168123020805356,20015.114442035923,20015.114442035923,haversine,0.04390305111264958,0.3233617728403392,65200,357,0.9646089800129314,0.0062105619561314,0.004460662874696708,0.023841001488147162,0.0,0.0,0.0,338866.9061127994,449066.31134378846,110199.40523098904,0.0158098014568658,0.0218467491548128,0.006036947697947,9.904292950218121,12.660461242253005,14.171367967813062,"Albany, NY","Orange, FL"
36,1,12,11,FL,Broward County,34,43,2542,34,43,2542,36001,12011,74764.70588235294,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Broward County, Florida",348600,1683,1940907,70331,641300,1940907,741973,466131,275842,12,11,0.3304125339338773,0.6282317550638635,1.689847811428281,0.0239297038290369,26.193535,,1202.7306455842695,1613.750349777721,7.386935641526723,0.6498396804742055,20015.114442035923,20015.114442035923,haversine,0.010875672718979712,0.36826160689223736,84800,487,0.984186287520286,0.0087576224884136,0.06301896898480164,0.3898721728120078,0.0,0.0,0.0,338866.9061127994,446799.50582420494,107932.59971140552,0.0158098014568658,0.0218467491548128,0.006036947697947,9.904292950218121,12.660461242253005,14.47866646277949,"Albany, NY","Broward, FL"
36,1,12,71,FL,Lee County,32,52,6744,32,52,6744,36001,12071,210750.0,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Lee County, Florida",290900,1466,772902,69368,497786,772902,311348,228142,83206,12,71,0.6440480164367539,0.7327556303557434,2.7418936134413383,0.0211336639372621,26.563273,,781.0086308610819,989.620305665324,6.898331318293861,0.4033718556716853,20015.114442035923,20015.114442035923,haversine,0.2573434975214999,0.054626124389360764,27100,270,0.4955819642874246,0.005961582596638801,0.16754284427668154,1.441917974825065,0.0,0.0,0.0,338866.9061127994,336729.3785992831,-2137.52751351631,0.0158098014568658,0.0197993791527018,0.003989577695836001,9.904292950218121,12.660461242253005,13.557908834572745,"Albany, NY","Lee, FL"
36,1,12,103,FL,Pinellas County,31,52,3120,31,52,3120,36001,12103,100645.16129032258,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Pinellas County, Florida",284300,1389,959918,66406,695118,959918,418716,289090,129626,12,103,0.7241431038901239,0.6904202371058188,2.2301853023313223,0.020916784627895,27.905342,,273.7050985566243,3507.1250227419914,8.162836992179127,0.5011207259341941,20015.114442035923,20015.114442035923,haversine,0.1595946272589911,0.025468963064009253,20500,193,1.7600876381726902,0.0057447032872717,0.1252074510267569,0.930209663715049,0.0,0.0,0.0,338866.9061127994,302976.4584711301,-35890.44764166931,0.0158098014568658,0.0179821808804585,0.002172379423592701,9.904292950218121,12.660461242253005,13.774604184884248,"Albany, NY","Pinellas, FL"
36,1,12,9,FL,Brevard County,29,44,1729,29,44,1729,36001,12009,59620.68965517241,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Brevard County, Florida",278000,1327,610723,71308,439832,610723,246650,189103,57547,12,9,0.7201824722501036,0.7666855868639773,3.286061827723426,0.0186094126886183,28.298311,,1014.9709241943084,601.7147737358059,6.401444072774941,0.4167667325043767,20015.114442035923,20015.114442035923,haversine,0.24394862068880852,0.02150833142398889,14200,131,0.0013052812314953144,0.003437331347994999,0.20147280078491536,1.9860861891071526,0.0,0.0,0.0,338866.9061127994,269415.92847398,-69450.97763881943,0.0158098014568658,0.0196248847288084,0.0038150832719426007,9.904292950218121,12.660461242253005,13.322400417603927,"Albany, NY","Brevard, FL"
36,1,12,115,FL,Sarasota County,27,54,4293,27,54,4293,36001,12115,159000.0,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Sarasota County, Florida",338500,1590,439392,77213,357827,439392,199345,151538,47807,12,115,0.8143684910057534,0.7601795881511951,3.169786851297927,0.0205923872922953,27.225327,,556.0021991039886,790.270255599872,6.673639572625033,0.4473703814064362,20015.114442035923,20015.114442035923,haversine,0.213344971786749,0.1156943501796387,74700,394,0.27089021861859663,0.005420305951671998,0.19496680207213324,1.8698112126816537,0.0,0.0,0.0,338866.9061127994,391494.73460065975,52627.82848786033,0.0158098014568658,0.0186158372781688,0.0028060358213029997,9.904292950218121,12.660461242253005,12.993149507991003,"Albany, NY","Sarasota, FL"
36,1,12,21,FL,Collier County,26,50,9546,26,50,9546,36001,12021,367153.8461538461,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Collier County, Florida",443700,1599,380221,82011,233909,380221,156768,117362,39406,12,21,0.615192217157916,0.748634925494999,2.978277419682282,0.0194973844972015,26.118786,,1996.9498838081631,190.4008723919112,5.254370036959935,0.3757594241205203,20015.114442035923,20015.114442035923,haversine,0.28495592907266487,0.08348192366819862,179900,403,1.1483793170465013,0.004325303156578197,0.1834221394159371,1.6783017810660088,0.0,0.0,0.0,338866.9061127994,503649.0857213416,164782.17960854218,0.0158098014568658,0.0196855538377641,0.0038757523808982987,9.904292950218121,12.660461242253005,12.848510571644349,"Albany, NY","Collier, FL"
36,1,12,86,FL,Miami-Dade County,25,36,1997,25,36,1997,36001,12086,79880.0,"Albany County, New York",263800,1196,315041,78829,220111,315041,132175,74707,57468,36,1,0.6986741408261147,0.5652127860790619,1.2999756386162733,0.0151720813406233,42.58824,,522.8878911047625,602.5019996817642,6.402749354006437,0.6607153531931852,"Miami-Dade County, Florida",387000,1623,2688237,64215,350398,2688237,952680,494141,458539,12,86,0.130344906345683,0.5186851828525842,1.0776422507136798,0.0252744685821069,25.616009,,1899.9040850274912,1414.933006979193,7.255543961679071,0.5369476065376029,20015.114442035923,20015.114442035923,haversine,0.12376774665558232,0.5683292344804317,123200,427,0.8527946076726343,0.010102387241483598,0.04652760322647764,0.2223333879025935,0.0,0.0,0.0,338866.9061127994,446799.50582420494,107932.59971140552,0.0158098014568658,0.0218467491548128,0.006036947697947,9.904292950218121,12.660461242253005,14.804396518372261,"Albany, NY","Miami-Dade, FL"
