Y1_STATEFIPS,Y1_COUNTYFIPS,Y2_STATEFIPS,Y2_COUNTYFIPS,Y2_STATE,Y2_COUNTYNAME,N1,N2,AGI,n_returns,n_individuals,agi_thousands,origin_fips5,dest_fips5,mean_agi
36,001,12,099,FL,Palm Beach County,49,78,7731,49,78,7731,36001,12099,157775.51020408163
36,001,12,057,FL,Hillsborough County,46,56,4022,46,56,4022,36001,12057,87434.78260869565
36,001,12,095,FL,Orange County,36,58,2052,36,58,2052,36001,12095,57000.0
36,001,12,011,FL,Broward County,34,43,2542,34,43,2542,36001,12011,74764.70588235294
36,001,12,071,FL,Lee County,32,52,6744,32,52,6744,36001,12071,210750.0
36,001,12,103,FL,Pinellas County,31,52,3120,31,52,3120,36001,12103,100645.16129032258
36,001,12,009,FL,Brevard County,29,44,1729,29,44,1729,36001,12009,59620.68965517241
36,001,12,115,FL,Sarasota County,27,54,4293,27,54,4293,36001,12115,159000.0
36,001,12,021,FL,Collier County,26,50,9546,26,50,9546,36001,12021,367153.8461538461
36,001,12,086,FL,Miami-Dade County,25,36,1997,25,36,1997,36001,12086,79880.0
36,001,12,105,FL,Polk County,22,45,1373,22,45,1373,36001,12105,62409.09090909091
36,001,12,081,FL,Manatee County,21,28,2454,21,28,2454,36001,12081,116857.14285714286
36,001,12,101,FL,Pasco County,21,43,1943,21,43,1943,36001,12101,92523.80952380953
36,001,12,127,FL,Volusia County,21,36,1838,21,36,1838,36001,12127,87523.80952380953
36,005,12,095,FL,Orange County,517,983,23644,517,983,23644,36005,12095,45733.07543520309
36,005,12,011,FL,Broward County,430,713,23362,430,713,23362,36005,12011,54330.232558139534
36,005,12,086,FL,Miami-Dade County,378,567,21794,378,567,21794,36005,12086,57656.084656084655
36,005,12,097,FL,Osceola County,378,724,17252,378,724,17252,36005,12097,45640.21164021164
36,005,12,057,FL,Hillsborough County,343,622,17400,343,622,17400,36005,12057,50728.86297376093
36,005,12,105,FL,Polk County,328,618,14065,328,618,14065,36005,12105,42881.09756097561
36,005,12,099,FL,Palm Beach County,238,411,15301,238,411,15301,36005,12099,64289.91596638656
36,005,12,117,FL,Seminole County,142,272,7099,142,272,7099,36005,12117,49992.957746478874
36,005,12,069,FL,Lake County,101,180,5482,101,180,5482,36005,12069,54277.22772277228
36,005,12,127,FL,Volusia County,101,194,4875,101,194,4875,36005,12127,48267.32673267327
36,005,12,031,FL,Duval County,100,171,5075,100,171,5075,36005,12031,50750.0
36,005,12,111,FL,St. Lucie County,93,162,5874,93,162,5874,36005,12111,63161.290322580644
36,005,12,101,FL,Pasco County,91,176,6423,91,176,6423,36005,12101,70582.41758241758
36,005,12,071,FL,Lee County,89,177,5488,89,177,5488,36005,12071,61662.92134831461
36,005,12,103,FL,Pinellas County,87,129,5175,87,129,5175,36005,12103,59482.75862068965
36,005,12,009,FL,Brevard County,82,131,4404,82,131,4404,36005,12009,53707.31707317073
36,005,12,083,FL,Marion County,68,111,3251,68,111,3251,36005,12083,47808.82352941176
36,005,12,053,FL,Hernando County,39,69,2077,39,69,2077,36005,12053,53256.41025641026
36,005,12,081,FL,Manatee County,37,56,2463,37,56,2463,36005,12081,66567.56756756757
36,005,12,115,FL,Sarasota County,31,53,7940,31,53,7940,36005,12115,256129.03225806452
36,005,12,035,FL,Flagler County,29,45,1514,29,45,1514,36005,12035,52206.89655172414
36,005,12,021,FL,Collier County,26,43,2092,26,43,2092,36005,12021,80461.53846153847
36,005,12,001,FL,Alachua County,24,41,935,24,41,935,36005,12001,38958.333333333336
36,007,12,057,FL,Hillsborough County,29,42,1784,29,42,1784,36007,12057,61517.24137931035
36,007,12,103,FL,Pinellas County,26,36,1443,26,36,1443,36007,12103,55500.0
36,007,12,099,FL,Palm Beach County,24,40,2273,24,40,2273,36007,12099,94708.33333333333
36,007,12,009,FL,Brevard County,22,33,1502,22,33,1502,36007,12009,68272.72727272728
36,027,12,099,FL,Palm Beach County,85,132,16167,85,132,16167,36027,12099,190200.0
36,027,12,057,FL,Hillsborough County,52,85,3672,52,85,3672,36027,12057,70615.38461538461
36,027,12,071,FL,Lee County,50,87,4505,50,87,4505,36027,12071,90100.0
36,027,12,011,FL,Broward County,48,69,3789,48,69,3789,36027,12011,78937.5
36,027,12,095,FL,Orange County,40,68,3279,40,68,3279,36027,12095,81975.0
36,027,12,127,FL,Volusia County,38,56,2274,38,56,2274,36027,12127,59842.10526315789
36,027,12,101,FL,Pasco County,31,55,2587,31,55,2587,36027,12101,83451.6129032258
36,027,12,009,FL,Brevard County,29,54,1714,29,54,1714,36027,12009,59103.44827586207
36,027,12,086,FL,Miami-Dade County,28,38,3144,28,38,3144,36027,12086,112285.71428571429
36,027,12,021,FL,Collier County,26,41,3223,26,41,3223,36027,12021,123961.53846153847
36,027,12,083,FL,Marion County,26,52,1958,26,52,1958,36027,12083,75307.69230769231
36,027,12,103,FL,Pinellas County,26,33,1734,26,33,1734,36027,12103,66692.30769230769
