origin_fips5,total_returns,total_exemptions,flow_weighted_mean_agi,share_of_corridor_returns,county_name,county_name_with_fips
36081,6083,10604,78569.4558605951,0.13978123994668873,"Queens, NY","Queens, NY (FIPS 36081)"
36047,5909,9832,93949.73768827213,0.13578289443448688,"Kings, NY","Kings, NY (FIPS 36047)"
36061,5777,8778,528114.9385494201,0.13274966680454064,"New York, NY","New York, NY (FIPS 36061)"
36103,5631,9631,161240.2770378263,0.12939473321384254,"Suffolk, NY","Suffolk, NY (FIPS 36103)"
36059,4582,7882,199022.91575731122,0.10528976515464865,"Nassau, NY","Nassau, NY (FIPS 36059)"
36005,3752,6648,54100.47974413646,0.0862171974815019,"Bronx, NY","Bronx, NY (FIPS 36005)"
36119,2567,4514,260925.9836384885,0.058987085803575534,"Westchester, NY","Westchester, NY (FIPS 36119)"
36029,1647,2825,122181.54219793565,0.03784640838273818,"Erie, NY","Erie, NY (FIPS 36029)"
36085,1372,2504,99311.95335276968,0.03152718415368353,"Richmond, NY","Richmond, NY (FIPS 36085)"
36055,1368,2386,100637.42690058479,0.031435268164897286,"Monroe, NY","Monroe, NY (FIPS 36055)"
